implementation,byte_value,time_ns,sample_id
Safe (PyCryptodome),2,5909.4,37
Vulnerable (Naive),2,21965.2,38
Safe (PyCryptodome),2,3384.0,38
Vulnerable (Naive),2,20536.8,39
Safe (PyCryptodome),2,5620.0,39
Vulnerable (Naive),2,21131.4,40
Safe (PyCryptodome),2,2220.4,40
Vulnerable (Naive),2,12031.2,41
Safe (PyCryptodome),2,2222.0,41
Vulnerable (Naive),2,13856.2,42
Safe (PyCryptodome),2,2487.4,42
Vulnerable (Naive),2,13561.4,43
Safe (PyCryptodome),2,2486.8,43
Vulnerable (Naive),2,13845.0,44
Safe (PyCryptodome),2,4802.2,44
Vulnerable (Naive),2,27723.8,45
Safe (PyCryptodome),2,4916.2,45
Vulnerable (Naive),2,24028.0,46
Safe (PyCryptodome),2,3635.6,46
Vulnerable (Naive),2,18755.2,47
Safe (PyCryptodome),2,4952.2,47
Vulnerable (Naive),2,24567.6,48
Safe (PyCryptodome),2,5271.4,48
Vulnerable (Naive),2,32546.6,49
Safe (PyCryptodome),2,7097.2,49
Vulnerable (Naive),3,23221.6,0
Safe (PyCryptodome),3,4160.0,0
Vulnerable (Naive),3,19021.8,1
Safe (PyCryptodome),3,3244.4,1
Vulnerable (Naive),3,19200.6,2
Safe (PyCryptodome),3,3005.8,2
Vulnerable (Naive),3,28328.8,3
Safe (PyCryptodome),3,5955.6,3
Vulnerable (Naive),3,30000.4,4
Safe (PyCryptodome),3,3027.6,4
Vulnerable (Naive),3,16738.6,5
Safe (PyCryptodome),3,2690.0,5
Vulnerable (Naive),3,14868.8,6
Safe (PyCryptodome),3,3066.6,6
Vulnerable (Naive),3,13174.8,7
Safe (PyCryptodome),3,2468.2,7
Vulnerable (Naive),3,14001.2,8
Safe (PyCryptodome),3,6439.0,8
Vulnerable (Naive),3,25828.6,9
Safe (PyCryptodome),3,2594.2,9
Vulnerable (Naive),3,13601.8,10
Safe (PyCryptodome),3,2568.4,10
Vulnerable (Naive),3,28968.8,11
Safe (PyCryptodome),3,6299.8,11
Vulnerable (Naive),3,25978.4,12
Safe (PyCryptodome),3,3056.4,12
Vulnerable (Naive),3,18428.4,13
Safe (PyCryptodome),3,3680.2,13
Vulnerable (Naive),3,27929.6,14
Safe (PyCryptodome),3,4782.0,14
Vulnerable (Naive),3,30242.0,15
Safe (PyCryptodome),3,5394.0,15
Vulnerable (Naive),3,30536.4,16
Safe (PyCryptodome),3,5364.2,16
Vulnerable (Naive),3,26761.0,17
Safe (PyCryptodome),3,2159.4,17
Vulnerable (Naive),3,12961.6,18
Safe (PyCryptodome),3,2216.4,18
Vulnerable (Naive),3,29869.8,19
Safe (PyCryptodome),3,6012.4,19
Vulnerable (Naive),3,15501.4,20
Safe (PyCryptodome),3,3736.6,20
Vulnerable (Naive),3,24198.8,21
Safe (PyCryptodome),3,5192.2,21
Vulnerable (Naive),3,31351.8,22
Safe (PyCryptodome),3,5697.8,22
Vulnerable (Naive),3,27573.2,23
Safe (PyCryptodome),3,2409.2,23
Vulnerable (Naive),3,26635.0,24
Safe (PyCryptodome),3,3415.2,24
Vulnerable (Naive),3,13748.0,25
Safe (PyCryptodome),3,2584.8,25
Vulnerable (Naive),3,17172.4,26
Safe (PyCryptodome),3,5314.2,26
Vulnerable (Naive),3,26826.8,27
Safe (PyCryptodome),3,5103.4,27
Vulnerable (Naive),3,26871.6,28
Safe (PyCryptodome),3,3999.6,28
Vulnerable (Naive),3,26828.0,29
Safe (PyCryptodome),3,6551.2,29
Vulnerable (Naive),3,26298.0,30
Safe (PyCryptodome),3,4007.8,30
Vulnerable (Naive),3,33527.2,31
Safe (PyCryptodome),3,6976.2,31
Vulnerable (Naive),3,29547.6,32
Safe (PyCryptodome),3,3574.6,32
Vulnerable (Naive),3,23033.4,33
Safe (PyCryptodome),3,5173.8,33
Vulnerable (Naive),3,25581.4,34
Safe (PyCryptodome),3,3898.6,34
Vulnerable (Naive),3,28377.2,35
Safe (PyCryptodome),3,6476.4,35
Vulnerable (Naive),3,25880.2,36
Safe (PyCryptodome),3,4272.6,36
Vulnerable (Naive),3,29998.4,37
Safe (PyCryptodome),3,3466.0,37
Vulnerable (Naive),3,20762.4,38
Safe (PyCryptodome),3,6139.8,38
Vulnerable (Naive),3,22636.0,39
Safe (PyCryptodome),3,4136.2,39
Vulnerable (Naive),3,24819.8,40
Safe (PyCryptodome),3,4093.6,40
Vulnerable (Naive),3,34266.0,41
Safe (PyCryptodome),3,7426.0,41
Vulnerable (Naive),3,20720.6,42
Safe (PyCryptodome),3,3427.2,42
Vulnerable (Naive),3,23545.0,43
Safe (PyCryptodome),3,7723.8,43
Vulnerable (Naive),3,26640.2,44
Safe (PyCryptodome),3,3395.6,44
Vulnerable (Naive),3,26211.8,45
Safe (PyCryptodome),3,3474.2,45
Vulnerable (Naive),3,12109.2,46
Safe (PyCryptodome),3,2303.0,46
Vulnerable (Naive),3,11815.8,47
Safe (PyCryptodome),3,2077.2,47
Vulnerable (Naive),3,12931.6,48
Safe (PyCryptodome),3,2479.8,48
Vulnerable (Naive),3,13296.4,49
Safe (PyCryptodome),3,2374.4,49
Vulnerable (Naive),4,12839.0,0
Safe (PyCryptodome),4,2391.8,0
Vulnerable (Naive),4,20387.2,1
Safe (PyCryptodome),4,4058.6,1
Vulnerable (Naive),4,11598.6,2
Safe (PyCryptodome),4,2082.4,2
Vulnerable (Naive),4,27188.2,3
Safe (PyCryptodome),4,5347.4,3
Vulnerable (Naive),4,25406.8,4
Safe (PyCryptodome),4,3281.8,4
Vulnerable (Naive),4,17658.2,5
Safe (PyCryptodome),4,3347.4,5
Vulnerable (Naive),4,18141.8,6
Safe (PyCryptodome),4,2947.8,6
Vulnerable (Naive),4,16569.0,7
Safe (PyCryptodome),4,2409.4,7
Vulnerable (Naive),4,16468.6,8
Safe (PyCryptodome),4,4067.6,8
Vulnerable (Naive),4,20801.8,9
Safe (PyCryptodome),4,7336.4,9
Vulnerable (Naive),4,23185.0,10
Safe (PyCryptodome),4,4745.0,10
Vulnerable (Naive),4,25965.4,11
Safe (PyCryptodome),4,5026.8,11
Vulnerable (Naive),4,20406.4,12
Safe (PyCryptodome),4,3097.4,12
Vulnerable (Naive),4,17310.6,13
Safe (PyCryptodome),4,3271.0,13
Vulnerable (Naive),4,19507.0,14
Safe (PyCryptodome),4,3647.8,14
Vulnerable (Naive),4,24136.2,15
Safe (PyCryptodome),4,3669.2,15
Vulnerable (Naive),4,17610.2,16
Safe (PyCryptodome),4,4957.0,16
Vulnerable (Naive),4,16106.4,17
Safe (PyCryptodome),4,3085.8,17
Vulnerable (Naive),4,15907.6,18
Safe (PyCryptodome),4,2827.2,18
Vulnerable (Naive),4,15429.8,19
Safe (PyCryptodome),4,4936.6,19
Vulnerable (Naive),4,18370.8,20
Safe (PyCryptodome),4,2683.4,20
Vulnerable (Naive),4,20014.4,21
Safe (PyCryptodome),4,3755.4,21
Vulnerable (Naive),4,21438.0,22
Safe (PyCryptodome),4,3268.4,22
Vulnerable (Naive),4,27025.8,23
Safe (PyCryptodome),4,5668.6,23
Vulnerable (Naive),4,22895.2,24
Safe (PyCryptodome),4,2783.0,24
Vulnerable (Naive),4,18146.2,25
Safe (PyCryptodome),4,4412.4,25
Vulnerable (Naive),4,16680.8,26
Safe (PyCryptodome),4,2663.8,26
Vulnerable (Naive),4,14501.6,27
Safe (PyCryptodome),4,2650.4,27
Vulnerable (Naive),4,30578.8,28
Safe (PyCryptodome),4,4397.2,28
Vulnerable (Naive),4,16110.2,29
Safe (PyCryptodome),4,2951.4,29
Vulnerable (Naive),4,16225.2,30
Safe (PyCryptodome),4,7694.8,30
Vulnerable (Naive),4,27530.0,31
Safe (PyCryptodome),4,2558.4,31
Vulnerable (Naive),4,14265.2,32
Safe (PyCryptodome),4,2607.2,32
Vulnerable (Naive),4,22373.8,33
Safe (PyCryptodome),4,2500.8,33
Vulnerable (Naive),4,25353.6,34
Safe (PyCryptodome),4,2460.0,34
Vulnerable (Naive),4,14088.6,35
Safe (PyCryptodome),4,4505.2,35
Vulnerable (Naive),4,16583.6,36
Safe (PyCryptodome),4,2461.0,36
Vulnerable (Naive),4,13687.6,37
Safe (PyCryptodome),4,2486.0,37
Vulnerable (Naive),4,27582.8,38
Safe (PyCryptodome),4,5901.0,38
Vulnerable (Naive),4,25005.8,39
Safe (PyCryptodome),4,6392.8,39
Vulnerable (Naive),4,35807.8,40
Safe (PyCryptodome),4,5716.0,40
Vulnerable (Naive),4,31920.0,41
Safe (PyCryptodome),4,2567.4,41
Vulnerable (Naive),4,14225.8,42
Safe (PyCryptodome),4,2572.0,42
Vulnerable (Naive),4,14324.8,43
Safe (PyCryptodome),4,5242.8,43
Vulnerable (Naive),4,22058.6,44
Safe (PyCryptodome),4,5534.4,44
Vulnerable (Naive),4,18825.4,45
Safe (PyCryptodome),4,2526.4,45
Vulnerable (Naive),4,20591.8,46
Safe (PyCryptodome),4,6437.6,46
Vulnerable (Naive),4,37617.2,47
Safe (PyCryptodome),4,6486.2,47
Vulnerable (Naive),4,21429.6,48
Safe (PyCryptodome),4,2993.6,48
Vulnerable (Naive),4,22657.0,49
Safe (PyCryptodome),4,6209.4,49
Vulnerable (Naive),5,25538.4,0
Safe (PyCryptodome),5,2969.0,0
Vulnerable (Naive),5,17781.6,1
Safe (PyCryptodome),5,4145.8,1
Vulnerable (Naive),5,39091.0,2
Safe (PyCryptodome),5,6614.4,2
Vulnerable (Naive),5,20279.0,3
Safe (PyCryptodome),5,7593.2,3
Vulnerable (Naive),5,24154.0,4
Safe (PyCryptodome),5,4289.6,4
Vulnerable (Naive),5,35176.0,5
Safe (PyCryptodome),5,6559.4,5
Vulnerable (Naive),5,29871.8,6
Safe (PyCryptodome),5,5008.2,6
Vulnerable (Naive),5,37668.2,7
Safe (PyCryptodome),5,7091.2,7
Vulnerable (Naive),5,32977.0,8
Safe (PyCryptodome),5,4497.2,8
Vulnerable (Naive),5,33078.6,9
Safe (PyCryptodome),5,7273.4,9
Vulnerable (Naive),5,34639.2,10
Safe (PyCryptodome),5,6725.6,10
Vulnerable (Naive),5,39138.0,11
Safe (PyCryptodome),5,6408.2,11
