implementation,byte_value,time_ns,sample_id
Vulnerable (Naive),1,9653.6,18
Safe Toy (CT SBox),1,48906.8,18
Safe (PyCryptodome),1,2290.6,18
Vulnerable (Naive),1,10474.8,19
Safe Toy (CT SBox),1,43475.0,19
Safe (PyCryptodome),1,2608.8,19
Vulnerable (Naive),1,10382.2,20
Safe Toy (CT SBox),1,45540.8,20
Safe (PyCryptodome),1,2841.0,20
Vulnerable (Naive),1,13589.4,21
Safe Toy (CT SBox),1,58110.4,21
Safe (PyCryptodome),1,9170.0,21
Vulnerable (Naive),1,16867.2,22
Safe Toy (CT SBox),1,54160.2,22
Safe (PyCryptodome),1,2290.4,22
Vulnerable (Naive),1,11040.4,23
Safe Toy (CT SBox),1,55824.8,23
Safe (PyCryptodome),1,4374.6,23
Vulnerable (Naive),1,13244.6,24
Safe Toy (CT SBox),1,46635.8,24
Safe (PyCryptodome),1,2320.0,24
Vulnerable (Naive),1,8918.2,25
Safe Toy (CT SBox),1,54681.2,25
Safe (PyCryptodome),1,4209.2,25
Vulnerable (Naive),1,18033.2,26
Safe Toy (CT SBox),1,48488.0,26
Safe (PyCryptodome),1,2674.2,26
Vulnerable (Naive),1,11347.2,27
Safe Toy (CT SBox),1,44376.2,27
Safe (PyCryptodome),1,2634.0,27
Vulnerable (Naive),1,9340.6,28
Safe Toy (CT SBox),1,53608.8,28
Safe (PyCryptodome),1,2940.6,28
Vulnerable (Naive),1,11903.0,29
Safe Toy (CT SBox),1,53507.0,29
Safe (PyCryptodome),1,2274.4,29
Vulnerable (Naive),1,9287.4,30
Safe Toy (CT SBox),1,65190.4,30
Safe (PyCryptodome),1,2089.4,30
Vulnerable (Naive),1,8537.0,31
Safe Toy (CT SBox),1,38816.6,31
Safe (PyCryptodome),1,5546.4,31
Vulnerable (Naive),1,15503.6,32
Safe Toy (CT SBox),1,56245.0,32
Safe (PyCryptodome),1,2605.8,32
Vulnerable (Naive),1,17498.0,33
Safe Toy (CT SBox),1,53912.0,33
Safe (PyCryptodome),1,2103.0,33
Vulnerable (Naive),1,9286.2,34
Safe Toy (CT SBox),1,58572.8,34
Safe (PyCryptodome),1,3969.6,34
Vulnerable (Naive),1,12916.6,35
Safe Toy (CT SBox),1,44780.4,35
Safe (PyCryptodome),1,2192.4,35
Vulnerable (Naive),1,8614.4,36
Safe Toy (CT SBox),1,68785.4,36
Safe (PyCryptodome),1,3682.2,36
Vulnerable (Naive),1,15069.8,37
Safe Toy (CT SBox),1,48501.8,37
Safe (PyCryptodome),1,2078.4,37
Vulnerable (Naive),1,8664.4,38
Safe Toy (CT SBox),1,36521.6,38
Safe (PyCryptodome),1,2106.2,38
Vulnerable (Naive),1,8388.2,39
Safe Toy (CT SBox),1,38865.2,39
Safe (PyCryptodome),1,6220.0,39
Vulnerable (Naive),1,16508.0,40
Safe Toy (CT SBox),1,47508.2,40
Safe (PyCryptodome),1,2225.6,40
Vulnerable (Naive),1,9528.2,41
Safe Toy (CT SBox),1,53015.6,41
Safe (PyCryptodome),1,2996.8,41
Vulnerable (Naive),1,11109.4,42
Safe Toy (CT SBox),1,51952.8,42
Safe (PyCryptodome),1,2248.6,42
Vulnerable (Naive),1,9107.0,43
Safe Toy (CT SBox),1,40849.6,43
Safe (PyCryptodome),1,2500.4,43
Vulnerable (Naive),1,9473.8,44
Safe Toy (CT SBox),1,46376.0,44
Safe (PyCryptodome),1,3234.8,44
Vulnerable (Naive),1,12954.8,45
Safe Toy (CT SBox),1,47939.8,45
Safe (PyCryptodome),1,2602.2,45
Vulnerable (Naive),1,9917.2,46
Safe Toy (CT SBox),1,50124.8,46
Safe (PyCryptodome),1,3288.6,46
Vulnerable (Naive),1,24064.6,47
Safe Toy (CT SBox),1,72204.2,47
Safe (PyCryptodome),1,2796.6,47
Vulnerable (Naive),1,14781.8,48
Safe Toy (CT SBox),1,50231.2,48
Safe (PyCryptodome),1,3623.0,48
Vulnerable (Naive),1,10251.2,49
Safe Toy (CT SBox),1,62582.2,49
Safe (PyCryptodome),1,2730.2,49
Vulnerable (Naive),2,11228.6,0
Safe Toy (CT SBox),2,52091.0,0
Safe (PyCryptodome),2,2170.6,0
Vulnerable (Naive),2,8665.0,1
Safe Toy (CT SBox),2,55672.2,1
Safe (PyCryptodome),2,3084.4,1
Vulnerable (Naive),2,13337.8,2
Safe Toy (CT SBox),2,46331.0,2
Safe (PyCryptodome),2,6460.0,2
Vulnerable (Naive),2,17021.4,3
Safe Toy (CT SBox),2,37735.8,3
Safe (PyCryptodome),2,2175.0,3
Vulnerable (Naive),2,9420.8,4
Safe Toy (CT SBox),2,41607.4,4
Safe (PyCryptodome),2,2532.6,4
Vulnerable (Naive),2,8709.2,5
Safe Toy (CT SBox),2,45435.4,5
Safe (PyCryptodome),2,5844.4,5
Vulnerable (Naive),2,11757.4,6
Safe Toy (CT SBox),2,38867.8,6
Safe (PyCryptodome),2,2044.8,6
Vulnerable (Naive),2,10578.8,7
Safe Toy (CT SBox),2,43804.4,7
Safe (PyCryptodome),2,3237.2,7
Vulnerable (Naive),2,13087.6,8
Safe Toy (CT SBox),2,50414.8,8
Safe (PyCryptodome),2,3689.0,8
Vulnerable (Naive),2,13641.2,9
Safe Toy (CT SBox),2,48687.4,9
Safe (PyCryptodome),2,2270.6,9
Vulnerable (Naive),2,8855.4,10
Safe Toy (CT SBox),2,46367.0,10
Safe (PyCryptodome),2,2786.8,10
Vulnerable (Naive),2,10604.4,11
Safe Toy (CT SBox),2,42719.4,11
Safe (PyCryptodome),2,2136.4,11
Vulnerable (Naive),2,8655.8,12
Safe Toy (CT SBox),2,41152.6,12
Safe (PyCryptodome),2,2367.4,12
Vulnerable (Naive),2,9174.6,13
Safe Toy (CT SBox),2,55272.2,13
Safe (PyCryptodome),2,3234.2,13
Vulnerable (Naive),2,14085.8,14
Safe Toy (CT SBox),2,52350.2,14
Safe (PyCryptodome),2,3062.2,14
Vulnerable (Naive),2,13078.2,15
Safe Toy (CT SBox),2,70130.0,15
Safe (PyCryptodome),2,5592.8,15
Vulnerable (Naive),2,23119.6,16
Safe Toy (CT SBox),2,93756.8,16
Safe (PyCryptodome),2,5429.8,16
Vulnerable (Naive),2,22623.4,17
Safe Toy (CT SBox),2,86331.0,17
Safe (PyCryptodome),2,4779.2,17
Vulnerable (Naive),2,18559.0,18
Safe Toy (CT SBox),2,78713.2,18
Safe (PyCryptodome),2,4544.8,18
Vulnerable (Naive),2,20948.2,19
Safe Toy (CT SBox),2,80477.0,19
Safe (PyCryptodome),2,4514.6,19
Vulnerable (Naive),2,11963.2,20
Safe Toy (CT SBox),2,35577.2,20
Safe (PyCryptodome),2,1987.2,20
Vulnerable (Naive),2,8476.6,21
Safe Toy (CT SBox),2,114479.4,21
Safe (PyCryptodome),2,10971.2,21
Vulnerable (Naive),2,18659.6,22
Safe Toy (CT SBox),2,83015.0,22
Safe (PyCryptodome),2,3180.6,22
Vulnerable (Naive),2,18494.8,23
Safe Toy (CT SBox),2,79769.2,23
Safe (PyCryptodome),2,3510.8,23
Vulnerable (Naive),2,14539.8,24
Safe Toy (CT SBox),2,53644.2,24
Safe (PyCryptodome),2,3247.2,24
Vulnerable (Naive),2,11788.4,25
Safe Toy (CT SBox),2,53306.4,25
Safe (PyCryptodome),2,2284.4,25
Vulnerable (Naive),2,9467.4,26
Safe Toy (CT SBox),2,48476.6,26
Safe (PyCryptodome),2,3828.6,26
Vulnerable (Naive),2,14624.4,27
Safe Toy (CT SBox),2,48957.6,27
Safe (PyCryptodome),2,3052.2,27
Vulnerable (Naive),2,10575.8,28
Safe Toy (CT SBox),2,53944.4,28
Safe (PyCryptodome),2,3625.6,28
Vulnerable (Naive),2,15424.0,29
Safe Toy (CT SBox),2,52569.6,29
Safe (PyCryptodome),2,2719.6,29
Vulnerable (Naive),2,11205.0,30
Safe Toy (CT SBox),2,56088.6,30
Safe (PyCryptodome),2,2971.2,30
Vulnerable (Naive),2,15836.4,31
Safe Toy (CT SBox),2,51969.8,31
Safe (PyCryptodome),2,3327.4,31
Vulnerable (Naive),2,13454.4,32
Safe Toy (CT SBox),2,63116.8,32
Safe (PyCryptodome),2,5697.6,32
Vulnerable (Naive),2,16586.2,33
Safe Toy (CT SBox),2,49391.2,33
Safe (PyCryptodome),2,2924.8,33
Vulnerable (Naive),2,14508.4,34
Safe Toy (CT SBox),2,52067.4,34
Safe (PyCryptodome),2,2862.8,34
Vulnerable (Naive),2,12506.6,35
Safe Toy (CT SBox),2,50955.0,35
Safe (PyCryptodome),2,2420.2,35
Vulnerable (Naive),2,9544.6,36
Safe Toy (CT SBox),2,52933.0,36
