implementation,byte_value,time_ns,sample_id
Algebraic_SBox,2,21.40,37
Precomputed_SBox,2,17.20,38
Algebraic_SBox,2,21.60,38
Precomputed_SBox,2,17.20,39
Algebraic_SBox,2,21.40,39
Precomputed_SBox,2,17.20,40
Algebraic_SBox,2,21.40,40
Precomputed_SBox,2,17.20,41
Algebraic_SBox,2,21.40,41
Precomputed_SBox,2,17.40,42
Algebraic_SBox,2,21.40,42
Precomputed_SBox,2,16.40,43
Algebraic_SBox,2,21.40,43
Precomputed_SBox,2,16.40,44
Algebraic_SBox,2,21.40,44
Precomputed_SBox,2,16.40,45
Algebraic_SBox,2,21.40,45
Precomputed_SBox,2,16.40,46
Algebraic_SBox,2,21.40,46
Precomputed_SBox,2,16.40,47
Algebraic_SBox,2,21.40,47
Precomputed_SBox,2,16.20,48
Algebraic_SBox,2,21.40,48
Precomputed_SBox,2,18.60,49
Algebraic_SBox,2,21.40,49
Precomputed_SBox,3,16.20,0
Algebraic_SBox,3,21.40,0
Precomputed_SBox,3,16.40,1
Algebraic_SBox,3,21.40,1
Precomputed_SBox,3,16.20,2
Algebraic_SBox,3,21.20,2
Precomputed_SBox,3,16.40,3
Algebraic_SBox,3,21.40,3
Precomputed_SBox,3,16.20,4
Algebraic_SBox,3,21.40,4
Precomputed_SBox,3,16.60,5
Algebraic_SBox,3,21.40,5
Precomputed_SBox,3,16.40,6
Algebraic_SBox,3,21.40,6
Precomputed_SBox,3,16.40,7
Algebraic_SBox,3,21.40,7
Precomputed_SBox,3,16.40,8
Algebraic_SBox,3,21.40,8
Precomputed_SBox,3,16.40,9
Algebraic_SBox,3,21.40,9
Precomputed_SBox,3,16.40,10
Algebraic_SBox,3,21.40,10
Precomputed_SBox,3,16.20,11
Algebraic_SBox,3,21.60,11
Precomputed_SBox,3,17.40,12
Algebraic_SBox,3,21.60,12
Precomputed_SBox,3,17.20,13
Algebraic_SBox,3,21.60,13
Precomputed_SBox,3,17.40,14
Algebraic_SBox,3,21.80,14
Precomputed_SBox,3,17.60,15
Algebraic_SBox,3,21.60,15
Precomputed_SBox,3,17.40,16
Algebraic_SBox,3,21.60,16
Precomputed_SBox,3,17.40,17
Algebraic_SBox,3,21.60,17
Precomputed_SBox,3,17.40,18
Algebraic_SBox,3,21.60,18
Precomputed_SBox,3,17.40,19
Algebraic_SBox,3,21.60,19
Precomputed_SBox,3,17.40,20
Algebraic_SBox,3,21.80,20
Precomputed_SBox,3,17.40,21
Algebraic_SBox,3,21.60,21
Precomputed_SBox,3,16.40,22
Algebraic_SBox,3,21.60,22
Precomputed_SBox,3,16.60,23
Algebraic_SBox,3,21.60,23
Precomputed_SBox,3,16.40,24
Algebraic_SBox,3,21.60,24
Precomputed_SBox,3,16.60,25
Algebraic_SBox,3,21.60,25
Precomputed_SBox,3,16.60,26
Algebraic_SBox,3,21.60,26
Precomputed_SBox,3,16.40,27
Algebraic_SBox,3,21.60,27
Precomputed_SBox,3,16.60,28
Algebraic_SBox,3,21.60,28
Precomputed_SBox,3,16.40,29
Algebraic_SBox,3,21.60,29
Precomputed_SBox,3,16.40,30
Algebraic_SBox,3,21.80,30
Precomputed_SBox,3,16.40,31
Algebraic_SBox,3,21.60,31
Precomputed_SBox,3,16.40,32
Algebraic_SBox,3,21.60,32
Precomputed_SBox,3,16.40,33
Algebraic_SBox,3,21.80,33
Precomputed_SBox,3,16.40,34
Algebraic_SBox,3,21.60,34
Precomputed_SBox,3,16.60,35
Algebraic_SBox,3,21.60,35
Precomputed_SBox,3,16.40,36
Algebraic_SBox,3,21.60,36
Precomputed_SBox,3,16.60,37
Algebraic_SBox,3,21.60,37
Precomputed_SBox,3,16.40,38
Algebraic_SBox,3,21.80,38
Precomputed_SBox,3,16.60,39
Algebraic_SBox,3,21.80,39
Precomputed_SBox,3,16.60,40
Algebraic_SBox,3,22.00,40
Precomputed_SBox,3,16.40,41
Algebraic_SBox,3,21.60,41
Precomputed_SBox,3,16.60,42
Algebraic_SBox,3,21.80,42
Precomputed_SBox,3,16.60,43
Algebraic_SBox,3,21.60,43
Precomputed_SBox,3,16.40,44
Algebraic_SBox,3,21.60,44
Precomputed_SBox,3,16.40,45
Algebraic_SBox,3,21.40,45
Precomputed_SBox,3,16.20,46
Algebraic_SBox,3,21.60,46
Precomputed_SBox,3,16.40,47
Algebraic_SBox,3,21.40,47
Precomputed_SBox,3,16.20,48
Algebraic_SBox,3,21.40,48
Precomputed_SBox,3,16.20,49
Algebraic_SBox,3,21.40,49
Precomputed_SBox,4,16.20,0
Algebraic_SBox,4,21.40,0
Precomputed_SBox,4,16.20,1
Algebraic_SBox,4,21.40,1
Precomputed_SBox,4,16.40,2
Algebraic_SBox,4,21.40,2
Precomputed_SBox,4,16.40,3
Algebraic_SBox,4,21.40,3
Precomputed_SBox,4,16.40,4
Algebraic_SBox,4,21.20,4
Precomputed_SBox,4,16.40,5
Algebraic_SBox,4,21.40,5
Precomputed_SBox,4,16.20,6
Algebraic_SBox,4,21.40,6
Precomputed_SBox,4,16.20,7
Algebraic_SBox,4,21.40,7
Precomputed_SBox,4,16.20,8
Algebraic_SBox,4,21.40,8
Precomputed_SBox,4,16.40,9
Algebraic_SBox,4,21.40,9
Precomputed_SBox,4,16.40,10
Algebraic_SBox,4,21.40,10
Precomputed_SBox,4,16.40,11
Algebraic_SBox,4,21.40,11
Precomputed_SBox,4,16.40,12
Algebraic_SBox,4,21.20,12
Precomputed_SBox,4,16.40,13
Algebraic_SBox,4,21.40,13
Precomputed_SBox,4,16.20,14
Algebraic_SBox,4,21.40,14
Precomputed_SBox,4,16.40,15
Algebraic_SBox,4,21.40,15
Precomputed_SBox,4,16.40,16
Algebraic_SBox,4,21.40,16
Precomputed_SBox,4,16.40,17
Algebraic_SBox,4,21.40,17
Precomputed_SBox,4,16.40,18
Algebraic_SBox,4,21.60,18
Precomputed_SBox,4,16.20,19
Algebraic_SBox,4,21.40,19
Precomputed_SBox,4,16.40,20
Algebraic_SBox,4,21.40,20
Precomputed_SBox,4,16.40,21
Algebraic_SBox,4,21.40,21
Precomputed_SBox,4,16.40,22
Algebraic_SBox,4,21.40,22
Precomputed_SBox,4,16.40,23
Algebraic_SBox,4,21.40,23
Precomputed_SBox,4,16.20,24
Algebraic_SBox,4,21.40,24
Precomputed_SBox,4,16.40,25
Algebraic_SBox,4,21.40,25
Precomputed_SBox,4,16.40,26
Algebraic_SBox,4,21.40,26
Precomputed_SBox,4,16.20,27
Algebraic_SBox,4,21.40,27
Precomputed_SBox,4,16.20,28
Algebraic_SBox,4,21.40,28
Precomputed_SBox,4,16.40,29
Algebraic_SBox,4,21.40,29
Precomputed_SBox,4,16.40,30
Algebraic_SBox,4,21.40,30
Precomputed_SBox,4,16.40,31
Algebraic_SBox,4,21.40,31
Precomputed_SBox,4,16.40,32
Algebraic_SBox,4,21.40,32
Precomputed_SBox,4,16.20,33
Algebraic_SBox,4,21.40,33
Precomputed_SBox,4,16.20,34
Algebraic_SBox,4,21.40,34
Precomputed_SBox,4,16.40,35
Algebraic_SBox,4,21.40,35
Precomputed_SBox,4,16.40,36
Algebraic_SBox,4,21.40,36
Precomputed_SBox,4,16.40,37
Algebraic_SBox,4,21.40,37
Precomputed_SBox,4,16.20,38
Algebraic_SBox,4,21.40,38
Precomputed_SBox,4,16.20,39
Algebraic_SBox,4,21.40,39
Precomputed_SBox,4,16.40,40
Algebraic_SBox,4,21.40,40
Precomputed_SBox,4,16.20,41
Algebraic_SBox,4,21.40,41
Precomputed_SBox,4,16.40,42
Algebraic_SBox,4,21.40,42
Precomputed_SBox,4,16.40,43
Algebraic_SBox,4,21.40,43
Precomputed_SBox,4,16.20,44
Algebraic_SBox,4,21.40,44
Precomputed_SBox,4,16.40,45
Algebraic_SBox,4,21.40,45
Precomputed_SBox,4,16.40,46
Algebraic_SBox,4,21.40,46
Precomputed_SBox,4,16.20,47
Algebraic_SBox,4,21.40,47
Precomputed_SBox,4,16.40,48
Algebraic_SBox,4,21.40,48
Precomputed_SBox,4,16.40,49
Algebraic_SBox,4,21.40,49
Precomputed_SBox,5,16.40,0
Algebraic_SBox,5,21.40,0
Precomputed_SBox,5,16.40,1
Algebraic_SBox,5,21.40,1
Precomputed_SBox,5,16.20,2
Algebraic_SBox,5,21.40,2
Precomputed_SBox,5,16.40,3
Algebraic_SBox,5,21.40,3
Precomputed_SBox,5,16.20,4
Algebraic_SBox,5,21.40,4
Precomputed_SBox,5,16.60,5
Algebraic_SBox,5,21.40,5
Precomputed_SBox,5,16.40,6
Algebraic_SBox,5,21.40,6
Precomputed_SBox,5,16.40,7
Algebraic_SBox,5,21.40,7
Precomputed_SBox,5,16.20,8
Algebraic_SBox,5,21.40,8
Precomputed_SBox,5,16.40,9
Algebraic_SBox,5,21.40,9
Precomputed_SBox,5,16.20,10
Algebraic_SBox,5,21.40,10
Precomputed_SBox,5,16.40,11
Algebraic_SBox,5,21.40,11
Precomputed_SBox,5,16.40,12
Algebraic_SBox,5,21.40,12
Precomputed_SBox,5,16.40,13
Algebraic_SBox,5,21.60,13
Precomputed_SBox,5,16.60,14
Algebraic_SBox,5,21.60,14
Precomputed_SBox,5,16.40,15
Algebraic_SBox,5,21.60,15
Precomputed_SBox,5,16.40,16
Algebraic_SBox,5,21.40,16
Precomputed_SBox,5,21.60,17
Algebraic_SBox,5,21.60,17
Precomputed_SBox,5,16.40,18
Algebraic_SBox,5,21.40,18
Precomputed_SBox,5,16.40,19
Algebraic_SBox,5,21.40,19
Precomputed_SBox,5,16.40,20
Algebraic_SBox,5,21.60,20
Precomputed_SBox,5,16.40,21
Algebraic_SBox,5,21.60,21
Precomputed_SBox,5,16.40,22
Algebraic_SBox,5,21.60,22
Precomputed_SBox,5,16.40,23
Algebraic_SBox,5,21.40,23
Precomputed_SBox,5,16.40,24
Algebraic_SBox,5,21.40,24
Precomputed_SBox,5,16.40,25
Algebraic_SBox,5,21.40,25
Precomputed_SBox,5,16.40,26
Algebraic_SBox,5,21.40,26
Precomputed_SBox,5,16.40,27
Algebraic_SBox,5,21.40,27
Precomputed_SBox,5,16.40,28
Algebraic_SBox,5,21.60,28
Precomputed_SBox,5,16.40,29
Algebraic_SBox,5,21.60,29
Precomputed_SBox,5,16.60,30
Algebraic_SBox,5,21.40,30
Precomputed_SBox,5,16.60,31
Algebraic_SBox,5,21.60,31
Precomputed_SBox,5,16.40,32
Algebraic_SBox,5,21.40,32
Precomputed_SBox,5,18.40,33
Algebraic_SBox,5,21.60,33
Precomputed_SBox,5,16.40,34
